method,tier,n_runs,mean_iou_q80,median_iou_q80,mean_iou_q85,median_iou_q85,mean_iou_q90,median_iou_q90,mean_iou_q95,median_iou_q95,mean_distance,median_distance,mean_sigma_x1,median_sigma_x1,mean_sigma_x2,median_sigma_x2,mean_area_frac,median_area_frac
EVT × GPR (geometric),Advanced,1217,0.1139,0.0,0.1324,0.0,0.1345,0.0,0.1068,0.0,0.3939,0.3816,0.0807,0.0753,0.0811,0.076,0.0674,0.0612
Peaks over Threshold (EVT),Base,1217,0.1109,0.0,0.1257,0.0,0.1283,0.0,0.111,0.0,0.3975,0.3808,0.0849,0.0815,0.0833,0.0816,0.0729,0.0686
kNN Performance Mapping,Base,1217,0.1376,0.0,0.1409,0.0,0.1282,0.0,0.0868,0.0,0.373,0.3526,0.0619,0.0541,0.0698,0.0662,0.0479,0.0424
kNN + GPR (mean),Simple,1217,0.1309,0.0,0.1338,0.0,0.1243,0.0,0.0921,0.0,0.3809,0.3572,0.0666,0.0573,0.0719,0.0698,0.0525,0.0457
GPR/kNN (variance-weighted),Advanced,1217,0.1324,0.0,0.1329,0.0,0.124,0.0,0.0908,0.0,0.3814,0.3569,0.0672,0.0581,0.0734,0.0703,0.0531,0.0465
RBF Interpolation,Base,1217,0.1371,0.0,0.1359,0.0,0.123,0.0,0.085,0.0,0.3671,0.3485,0.0619,0.0537,0.0655,0.062,0.0438,0.04
Anchored GPR (QR prior),Advanced,1217,0.1231,0.0,0.1271,0.0,0.1173,0.0,0.0906,0.0,0.3802,0.3556,0.0734,0.064,0.0746,0.0705,0.057,0.0498
Gaussian Process Regression,Base,1217,0.1225,0.0,0.1263,0.0,0.1169,0.0,0.09,0.0,0.3806,0.3555,0.0733,0.0635,0.0744,0.0704,0.0569,0.049
GPR/kNN (disagreement-amplified),Advanced,1217,0.114,0.0,0.1176,0.0,0.1108,0.0,0.0851,0.0,0.3782,0.3557,0.0757,0.067,0.0759,0.0712,0.0572,0.0498
kNN + Quantile (mean),Simple,1217,0.0927,0.0,0.0926,0.0,0.0919,0.0,0.0687,0.0,0.4231,0.4339,0.0788,0.0725,0.0938,0.0831,0.076,0.0612
LOESS Local Regression,Base,1217,0.0823,0.0,0.085,0.0,0.0833,0.0,0.0628,0.0,0.4186,0.4007,0.1117,0.1066,0.102,0.0952,0.1132,0.1094
QR × GPR (geometric),Advanced,1217,0.059,0.0282,0.0701,0.016,0.0694,0.0106,0.0566,0.0106,0.339,0.3536,0.1995,0.297,0.2006,0.297,0.5501,1.0
Gated GPR (QR anchor),Advanced,1217,0.0512,0.0,0.0497,0.0,0.0427,0.0,0.0251,0.0,0.4758,0.5273,0.1081,0.1073,0.1099,0.1097,0.1421,0.1478
Polynomial Response Surface,Base,1217,0.0636,0.0,0.0485,0.0,0.0294,0.0,0.0094,0.0,0.4663,0.4635,0.1163,0.1144,0.0971,0.0994,0.121,0.1339
Bayesian Optimization (EI),Base,1217,0.0287,0.0,0.0273,0.0,0.0262,0.0,0.0245,0.0,0.4462,0.467,0.0304,0.0215,0.0319,0.0228,0.0426,0.0359
Quantile Regression,Base,1217,0.0352,0.0156,0.0311,0.0106,0.0242,0.0071,0.0188,0.0071,0.3534,0.3477,0.2007,0.297,0.2439,0.297,0.5798,1.0
Local GPR (QR-localised),Advanced,1217,0.0242,0.0,0.0208,0.0,0.0223,0.0,0.0293,0.0,0.5245,0.5618,0.1202,0.1233,0.1242,0.1239,0.1095,0.1086
